id,name,image_link,subsequence_number
1,Попробуй!,https://sushiwok.ru/img/004e1074ca0a8e92146854b76b883c43,1
2,Наборы и комбо,https://sushiwok.ru/img/2ac24455804d3bbfbb5b717311b59bfd,2
3,Роллы,https://sushiwok.ru/img/6a181c4d790ce83b5596f1b7df9afce3,3
4,Запеченные роллы,https://sushiwok.ru/img/0e98c573fae194516ad7d1e60695aeda,4
5,Wok,https://sushiwok.ru/img/06e1a9f022b2dce9a936a0df23c52a94,5
6,Вегетарианские блюда,https://sushiwok.ru/img/4c80c0b3313ad216d49efb1c9c707794,6
7,Пицца,https://sushiwok.ru/img/13f31a21b97d484b8982c8d21e21ad7a,7
8,Салаты и закуски,https://sushiwok.ru/img/aab7473ddb4851dc9c57d67a382874cc,8
9,Супы и горячее,https://sushiwok.ru/img/3f358ae918bb3c6d7f331479c0e5c83e,9
10,Бизнес-ланчи,https://sushiwok.ru/img/5c6dd5254ff11b5cce84891e31f2580e,10
11,Десерты и напитки,https://sushiwok.ru/img/15305b51ef7cab521b99d7e21f9c0314,11
12,Дополнительно,https://sushiwok.ru/img/f1cf9a596d9088f182da4432de89afd5,12
