id,name,subsequence_number,category_id,image_link,description,price
1,Ролл Кабуки,1,1,https://sushiwok.ru/img/bd79bf88c68270c7e7bc823536fee58e,"рыба красная терияки, сыр сливочный, огурец, икра масаго, сырный соус, унаги соус, кунжут 249 г",399
2,Ролл Рэд Фиш,2,1,https://sushiwok.ru/img/7e80c2d4866239c173fed4ff23f77154,"рыба красная, краб-крем, омлет тамаго, сыр сливочный, сырный соус, унаги соус, кунжут 271 г",349
3,Ролл Аяши унаги,3,1,https://sushiwok.ru/img/947ac0364cea4c221a60df75d9d81f12,"кларий, сырный соус, унаги соус, кунжут, краб-крем 174 г",349
4,Ролл Окунь Хот,4,1,https://sushiwok.ru/img/f08e7c47de64f1526707b4eb7b7d00b1,"краб-крем, тамаго яки омлет, кунжут белый, окунь, спайси соус, унаги соус, кунжут микс 243 г",329
5,Ролл Хиджи,5,1,https://sushiwok.ru/img/ce9071fb95e072361c8c47fa7ceefb99,"креветки, тесто харумаки, огурец, сыр сливочный, масаго, яки соус, кунжут 232 г",349
6,Ролл Хоккайдо,6,1,https://sushiwok.ru/img/a0036ef5341a089c233a5dcb7a85fad3,"цыпленок, омлет тамаго, сыр сливочный, сырный соус, унаги соус, кунжут, масаго 240 г",247
7,Ролл Горячий Хит,7,1,https://sushiwok.ru/img/d0fde13d5a7ce9794ab0121c8900ded1,"цыпленок, кларий, омлет тамаго, сыр сливочный, масаго, медовый соус, спайси соус 258 г",399
8,Ролл Хот Фиш,8,1,https://sushiwok.ru/img/fdad3be1dd4d458d862878e64da2f619,"рыба красная терияки, сырный соус 116 г",202
9,Дабл Фила,9,1,https://sushiwok.ru/img/2dd111610bfa83a6242fcc125f9e76db,"ролл Филадельфия Сом 2 шт., ролл Пиканто Фиш, ролл Филадельфия в масаго 2 шт. 969 г",1469
10,Смарт сет,10,1,https://sushiwok.ru/img/8f5d20e746d291f803ebfb933a439003,"ролл Фиеста, ролл Пиканто Фиш, ролл Калифорния в кунжуте 582 г",599
11,Ролл Филадельфия Сом,11,1,https://sushiwok.ru/img/3f29625d14e1b991b1d763359ff7ca7d,"кларий, сыр сливочный, огурцы, кунжут белый, унаги соус 214 г",399
12,Ролл Роял Фиш ,12,1,https://sushiwok.ru/img/34d2dc4ad903b85187686f14d5af7671,"сыр сливочный, креветка тигровая, авокадо, икра масаго оранжевая, рыба красная терияки 192 г",429
13,Ролл Пиканто Фиш,13,1,https://sushiwok.ru/img/9bce68b9271988abbd664b20d7d07795,"рыба красная терияки, сыр сливочный, салат айсберг, икра масаго оранжевая, медовый соус 187 г",263
14,Ролл Изуми,14,1,https://sushiwok.ru/img/56c9e5b9524601ed720f70bf10c82d6b,"окунь терияки, яичный блин, огурец, сыр сливочный, унаги соус, кунжут 227 г",279
15,Ролл Фреш Чикен,15,1,https://sushiwok.ru/img/339c747c19913f957bd970d9ce577e70,"цыпленок, яичный блин, огурец, сыр сливочный, медовый соус, унаги соус, спайси соус, кунжут 242 г",195
16,Ролл Рэд Краб,16,1,https://sushiwok.ru/img/7bdcdcc6208a3aafb7252b572089b664,"краб-крем, сыр сливочный, огурец, масаго, кунжут 199 г",209
17,Ролл Кани маки,17,1,https://sushiwok.ru/img/2e63af7704c0122b9658c0e594ba827b,"краб-крем, омлет тамаго, салат айсберг, медовый соус, кунжут 206 г",279
18,Мини-ролл Унаги,18,1,https://sushiwok.ru/img/246a77394e85f0f14e12a334a9fac801,"кларий, кунжут белый, унаги соус 108 г",229
19,Сытное трио,19,1,https://sushiwok.ru/img/f25d52bc0de70162660e52b02e39176f,"четыре сыра на тонком тесте 25 см, дракон на пышном тесте 25 см, прошутто фунги на пышном тесте 25 см 1260 г",1049
